movie_id,genre
337,Fantasy
338,Action
338,Thriller
339,Western
339,History
339,War
340,Action
340,Adventure
340,Animation
340,Family
341,Action
341,Adventure
342,Adventure
342,Fantasy
342,Family
343,Action
343,Adventure
343,Comedy
343,Science Fiction
344,Animation
344,Comedy
344,Family
345,Action
345,Thriller
346,Action
346,Comedy
346,Crime
346,Thriller
347,Drama
347,Horror
347,Mystery
347,Thriller
348,Animation
348,Comedy
348,Family
349,Animation
349,Comedy
349,Family
349,Adventure
350,Adventure
350,Comedy
350,Drama
350,Fantasy
351,Action
351,Adventure
351,Comedy
351,Crime
351,Thriller
352,Drama
352,Thriller
352,Crime
353,Animation
353,Family
353,Adventure
354,Action
354,Comedy
355,Thriller
355,Crime
355,Mystery
355,Drama
356,Action
356,Thriller
357,Action
357,Adventure
357,Crime
357,Mystery
358,Drama
359,Animation
359,Family
359,Adventure
359,Science Fiction
360,Adventure
360,Animation
360,Comedy
360,Family
361,Drama
361,Thriller
361,History
361,War
362,Comedy
362,Action
363,Action
363,Comedy
363,Science Fiction
364,Drama
364,Science Fiction
364,Adventure
365,Thriller
365,Fantasy
365,Comedy
365,Family
365,Mystery
366,Drama
366,Science Fiction
366,Mystery
367,Action
367,Science Fiction
367,Thriller
368,Crime
368,Thriller
369,Adventure
369,Family
369,Fantasy
370,Action
370,Adventure
370,Fantasy
370,Thriller
371,Action
371,Adventure
371,Comedy
371,Crime
371,Mystery
371,Thriller
372,Thriller
372,Action
372,Romance
372,Science Fiction
372,Adventure
373,Action
373,Crime
373,Thriller
374,Science Fiction
375,Animation
375,Adventure
375,Comedy
375,Family
376,Comedy
376,Science Fiction
377,Science Fiction
377,Action
377,Drama
377,Thriller
378,Crime
378,Thriller
378,Drama
379,Drama
379,History
379,Thriller
380,Adventure
380,Fantasy
380,Action
381,Romance
381,Drama
381,History
382,Fantasy
382,Action
382,Family
383,Drama
383,History
384,Action
384,Adventure
384,Drama
385,Adventure
385,Drama
386,Animation
386,Comedy
387,Action
387,Drama
387,Thriller
388,Action
388,Thriller
389,Thriller
389,Crime
390,Adventure
390,Action
390,Thriller
391,Animation
391,Comedy
391,Family
391,Fantasy
392,Comedy
392,Family
392,Fantasy
392,Romance
393,Action
393,Thriller
